GovEntityID,Entity_Name,ParentEntityName,YEAR,Population,Tot_Rev,Police_Exp,Health_Exp,Housing_Exp,Tot_Exp,Tot_Exp2
528,Lake Lillian,Kandiyohi,2018,229,249205,,,,178344,202355
529,Lake Park,Becker,2018,804,631406,190904,39514,0,735307,902218
531,Lake Saint Croix Beach,Washington,2018,1049,767509,66649,,,868472,951697
530,Lake Shore,Cass,2018,1067,1177956,308021,,,1183623,1314433
532,Lake Wilson,Murray,2018,241,208946,2470,0,0,165700,209388
533,Lakefield,Jackson,2018,1708,2484501,262035,0,0,1639075,2981545
534,Lakeland,Washington,2018,1811,1248494,115823,0,0,863773,1115942
535,Lakeland Shores,Washington,2018,320,198130,19722,,,129841,133435
536,Lakeville,Dakota,2018,64334,54623496,11169958,0,0,28453691,67989335
537,Lamberton,Redwood,2018,799,1142697,103355,3594,,834416,1393016
538,Lancaster,Kittson,2018,330,486544,,,,355245,510945
539,Landfall,Washington,2018,762,2287353,122571,,614900,1139756,1909898
540,Lanesboro,Fillmore,2018,764,1663597,94809,0,0,1164187,1927214
541,Laporte,Hubbard,2018,111,76388,,,,49570,73250
542,Lastrup,Morrison,2018,99,59146,,,,38195,38195
543,Lauderdale,Ramsey,2018,2408,2427052,709240,0,0,1466549,1634213
544,Le Center,Le Sueur,2018,2524,2514231,389615,0,0,1799548,2279391
545,Le Sueur,Le Sueur,2018,4091,6247076,937815,22962,0,5031085,7610611
546,Lengby,Polk,2018,83,40301,0,0,0,34553,35127
547,Leonard,Clearwater,2018,40,26017,,,,12258,12258
548,Leonidas,Saint Louis,2018,48,91726,1200,0,0,143529,144259
549,LeRoy,Mower,2018,955,1009510,75627,0,0,860179,1278033
550,Lester Prairie,McLeod,2018,1705,1672105,344221,,,1226056,1866823
551,Lewiston,Winona,2018,1523,2071321,240752,,,1223147,4826766
552,Lewisville,Watonwan,2018,243,175123,0,0,0,154904,241201
553,Lexington,Anoka,2018,2109,2597858,815866,0,0,2014192,4201088
554,Lilydale,Dakota,2018,947,829525,265344,,,568729,833602
555,Lindstrom,Chisago,2018,4665,3694081,731587,0,0,2115077,4635000
556,Lino Lakes,Anoka,2018,21347,18769777,3749477,0,0,10402393,17482327
557,Lismore,Nobles,2018,230,233824,0,0,0,212980,222880
558,Litchfield,Meeker,2018,6763,6282329,1516985,0,0,5637312,9927435
559,Little Canada,Ramsey,2018,10386,7442504,1611979,0,1334759,5661664,9464733
560,Little Falls,Morrison,2018,8934,9047938,1758952,0,32924,5720728,11862344
561,Littlefork,Koochiching,2018,616,1220895,0,0,0,803865,1112626
562,Long Beach,Pope,2018,346,149732,,,,101056,103542
563,Long Lake,Hennepin,2018,1815,2615385,291372,0,0,1515307,2686991
564,Long Prairie,Todd,2018,3375,3081958,695979,0,0,2114804,3679751
565,Longville,Cass,2018,161,736920,18340,0,0,426423,648407
566,Lonsdale,Rice,2018,4128,4151816,647755,,,2154917,5194993
567,Loretto,Hennepin,2018,661,765424,55507,,,558889,769149
568,Louisburg,Lac qui Parle,2018,37,30799,,,,21976,21976
569,Lowry,Pope,2018,310,325614,8238,0,0,216456,318654
570,Lucan,Redwood,2018,183,260354,,,,199715,227847
571,Luverne,Rock,2018,4725,6149232,863343,0,7592,4998094,6637963
572,Lyle,Mower,2018,546,378875,65842,0,0,253272,295953
573,Lynd,Lyon,2018,464,402815,45247,0,0,171085,329840
574,Mabel,Fillmore,2018,771,1154739,110972,,,967170,1706233
575,Madelia,Watonwan,2018,2302,2776076,420353,0,0,2205209,2856423
576,Madison,Lac qui Parle,2018,1459,2089416,207512,0,139809,1830107,2929112
577,Madison Lake,Blue Earth,2018,1216,1648270,249203,0,0,895934,1668056
578,Magnolia,Rock,2018,209,133471,8321,0,0,100255,100255
579,Mahnomen,Mahnomen,2018,1228,1356784,239933,0,34691,916086,1128208
580,Mahtomedi,Washington,2018,8040,7768287,517534,0,0,3803001,13929989
581,Manchester,Freeborn,2018,50,81811,,,,58362,58362
582,Manhattan Beach,Crow Wing,2018,61,73588,0,0,0,56575,56575
583,Mankato,Blue Earth,2018,43571,50334850,9476105,0,0,29651370,56680015
584,Mantorville,Dodge,2018,1222,1020961,90147,0,0,635694,1380610
585,Maple Grove,Hennepin,2018,66903,78798455,11449317,0,610338,42101995,82590743
586,Maple Lake,Wright,2018,2164,2489082,221641,0,0,1501983,2990997
587,Maple Plain,Hennepin,2018,1864,2429405,515643,0,0,1841848,3212951
588,Mapleton,Blue Earth,2018,1735,2092757,306047,0,0,1016741,2909327
589,Mapleview,Mower,2018,179,200734,0,0,0,161290,174570
590,Maplewood,Ramsey,2018,40710,35737102,9146764,0,0,23002825,47316212
591,Marble,Itasca,2018,674,541304,0,0,0,516378,556637
592,Marietta,Lac qui Parle,2018,143,165920,,,,182223,182223
593,Marine on Saint Croix,Washington,2018,711,1096894,0,0,0,756730,1597515
594,Marshall,Lyon,2018,13783,26588158,2951601,0,0,15114246,27765006
595,Mayer,Carver,2018,2295,1475481,84833,0,0,885681,1463704
596,Maynard,Chippewa,2018,349,457294,0,0,0,404136,447322
597,Mazeppa,Wabasha,2018,876,899275,48390,0,0,659287,858780
598,McGrath,Aitkin,2018,73,61717,,,,52627,52627
599,McGregor,Aitkin,2018,381,670346,13293,,,542393,593197
600,McIntosh,Polk,2018,612,543585,1078,0,0,419409,481236
601,McKinley,Saint Louis,2018,127,152127,0,0,0,116944,144103
602,Meadowlands,Saint Louis,2018,131,100745,0,0,0,77041,77041
603,Medford,Steele,2018,1284,1213443,73756,0,0,623111,1144920
604,Medicine Lake,Hennepin,2018,388,518703,15292,0,0,335138,688874
605,Medina,Hennepin,2018,6646,6842920,1663403,0,0,4595383,7344977
606,Meire Grove,Stearns,2018,176,65292,0,0,0,42516,60119
607,Melrose,Stearns,2018,3666,4506404,587965,0,0,2656845,4383941
608,Menahga,Wadena,2018,1341,1371727,291971,0,0,887244,1377991
609,Mendota,Dakota,2018,206,291625,76001,0,0,214278,258644
610,Mendota Heights,Dakota,2018,11392,11914514,3411285,0,0,8350101,12100367
611,Mentor,Polk,2018,146,253011,0,0,0,231435,265878
612,Middle River,Marshall,2018,309,298395,0,0,0,249997,444270
613,Miesville,Dakota,2018,137,167356,,,,140234,172760
614,Milaca,Mille Lacs,2018,2895,2698753,559424,0,0,2007226,2727898
615,Milan,Chippewa,2018,349,311250,0,0,0,272297,281494
616,Millerville,Douglas,2018,107,138139,,,,99642,121884
617,Millville,Wabasha,2018,175,71094,,,,49197,49197
618,Milroy,Redwood,2018,246,274646,0,0,0,266020,301517
619,Miltona,Douglas,2018,433,467596,12558,0,0,351469,652116
620,Minneapolis,Hennepin,2018,428483,1000328705,176506000,24104000,19000000,779818704,1090892307
621,Minneiska,Wabasha,2018,109,44277,,,,28648,28648
622,Minneota,Lyon,2018,1382,1400488,122209,0,128835,1109687,2228604
623,Minnesota City,Winona,2018,189,74235,0,0,0,65963,65963
624,Minnesota Lake,Faribault,2018,662,716811,73639,0,0,485586,584897
625,Minnetonka,Hennepin,2018,53713,66402903,9824930,406252,2614995,36847877,57752635
626,Minnetonka Beach,Hennepin,2018,561,1097190,141000,,,863657,1073378
627,Minnetrista,Hennepin,2018,7692,7767348,2007024,0,0,5105317,7607449
628,Mizpah,Koochiching,2018,53,20679,0,0,0,13751,13751
629,Montevideo,Chippewa,2018,5287,11156389,1299145,200,0,4414813,7182669
630,Montgomery,Le Sueur,2018,3079,3323192,853648,0,0,2186041,3430787
631,Monticello,Wright,2018,13782,15906382,1362411,0,0,10968783,23578834
632,Montrose,Wright,2018,3247,2267563,262800,0,0,1007801,1710444
633,Moorhead,Clay,2018,43522,57418723,10415210,0,867796,34067279,81194551
634,Moose Lake,Carlton,2018,2794,2253321,590573,0,0,1797865,2402476
635,Mora,Kanabec,2018,3598,3437392,644323,0,50169,3045007,3630285
636,Morgan,Redwood,2018,864,1121971,112106,0,0,787363,1287103
637,Morris,Stevens,2018,5452,6565184,884795,0,0,5341828,7352385
638,Morristown,Rice,2018,995,950889,114834,,,636894,811303
639,Morton,Renville,2018,371,546293,59334,0,6000,501817,543920
640,Motley,Morrison,2018,659,768052,139017,,,593236,860605
641,Mound,Hennepin,2018,9347,11047344,1751188,0,82659,5947548,11243496
642,Mounds View,Ramsey,2018,13328,10582299,3028870,,,8552754,11315771
643,Mountain Iron,Saint Louis,2018,2893,4775919,530129,0,0,4229015,4636682
644,Mountain Lake,Cottonwood,2018,2108,2942640,363132,0,0,1843767,3822445
645,Murdock,Swift,2018,269,258578,0,0,0,258400,312534
646,Myrtle,Freeborn,2018,39,63650,,,,50206,60019
647,Nashua,Wilkin,2018,55,15825,,,,13345,13345
648,Nashwauk,Itasca,2018,962,1713715,411983,0,0,1563291,1882643
649,Nassau,Lac qui Parle,2018,56,80245,,,,56334,78554
650,Nelson,Douglas,2018,183,51879,0,0,0,78887,78887
651,Nerstrand,Rice,2018,309,223771,,,,172619,215671
652,Nevis,Hubbard,2018,416,500715,84570,,,419772,506098
653,New Auburn,Sibley,2018,446,494055,9503,,,234866,430528
654,New Brighton,Ramsey,2018,23119,35349834,4881901,0,723443,19430504,32459363
655,New Germany,Carver,2018,455,539435,16415,,,300807,448053
656,New Hope,Hennepin,2018,21790,20131801,6007727,0,0,14333760,29007841
657,New London,Kandiyohi,2018,1390,1690600,19267,0,0,1045468,1729450
659,New Munich,Stearns,2018,320,248500,0,0,0,139188,320392
660,New Prague,Scott,2018,8056,6820338,1344892,0,0,4477980,7408058
661,New Richland,Waseca,2018,1205,1372330,257641,0,0,905431,1600266
662,New Trier,Dakota,2018,114,61401,0,0,0,35909,53296
663,New Ulm,Brown,2018,13645,21774375,2924854,0,0,15988959,25957616
664,New York Mills,Otter Tail,2018,1226,1787396,329149,,,1380337,2521085
665,Newfolden,Marshall,2018,379,329819,,,,190835,240853
666,Newport,Washington,2018,3678,5055890,736572,0,0,2925409,7410148
667,Nicollet,Nicollet,2018,1140,893471,0,0,0,337218,1307363
668,Nielsville,Polk,2018,88,74050,,,,52859,55647
669,Nimrod,Wadena,2018,77,36337,,,,22880,22880
670,Nisswa,Crow Wing,2018,2069,3076674,653879,,,2369464,4581405
671,Norcross,Grant,2018,71,60494,0,0,0,30915,30915
672,North Branch,Chisago,2018,10726,9228626,1686907,0,150277,5987135,8697388
673,North Mankato,Nicollet,2018,14059,13389052,2173799,0,0,8400200,15522129
674,North Oaks,Ramsey,2018,5304,2476990,758098,0,0,2339614,2499518
675,North Saint Paul,Ramsey,2018,12159,10506269,2720075,0,194590,7427326,10897156
676,Northfield,Rice,2018,20426,18827931,3544798,0,176053,12950556,24035061
677,Northome,Koochiching,2018,176,299595,0,0,78,251355,264273
678,Northrop,Martin,2018,208,147055,12775,0,0,127239,131846
679,Norwood Young America,Carver,2018,3833,4032806,191165,0,25654,2087680,4372404
957,Nowthen,Anoka,2018,4758,1991604,226680,0,0,1419137,1848318
680,Oak Grove,Anoka,2018,8689,3703477,566443,0,0,2448501,5497139
681,Oak Park Heights,Washington,2018,4801,6953471,1365413,,,5126103,7310184
682,Oakdale,Washington,2018,28315,20501178,5131656,0,21374,14422491,24114718
683,Odessa,Big Stone,2018,119,98795,0,0,0,78323,81184
684,Odin,Watonwan,2018,103,115222,0,0,0,102440,108770
685,Ogema,Becker,2018,179,119891,798,0,0,59780,59780
686,Ogilvie,Kanabec,2018,358,346420,27000,0,0,241905,296432
687,Okabena,Jackson,2018,202,154608,6000,0,0,125761,141386
688,Oklee,Red Lake,2018,428,475874,13506,0,0,393103,398369
689,Olivia,Renville,2018,2439,2794395,614644,0,0,2324417,3321576
690,Onamia,Mille Lacs,2018,860,902120,274547,,,716992,824517
691,Ormsby,Watonwan,2018,127,102087,0,0,0,92480,104663
692,Orono,Hennepin,2018,8102,11671721,4188582,0,1851,7881352,14698121
693,Oronoco,Olmsted,2018,1503,1545861,53593,0,0,756320,1197417
694,Orr,Saint Louis,2018,289,596791,0,0,0,582582,598538
695,Ortonville,Big Stone,2018,1816,2184838,385943,,,2078529,2413913
696,Osakis,Douglas,2018,1784,2245304,404058,,4987,1227229,1968492
697,Oslo,Marshall,2018,302,353076,0,0,0,328112,436498
698,Osseo,Hennepin,2018,2729,4354941,784457,0,87395,2318103,8589181
699,Ostrander,Fillmore,2018,250,2107630,24000,,,159083,3589496
